Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2024-05-17 00:00:00+05:30,4.099999904632568,4.099999904632568,4.099999904632568,4.099999904632568,4667,0.0,0.0,0.0,2024-05-17,4.578000020980835,0.2443379596897137,4.822337980670548,4.333662061291122,5.066675940360263,4.089324101601408,-206.49196210924632,-89.19174098811752,262586,4242.726958722179,2632.7823528395647,4.137354623988895,4.238079292730177,4.099999904632568,4.099999904632568,4.099999904632568,4.099999904632568,4.099999904632568,4.099999904632568,4.099999904632568,,-100.0,-0.06539913953356535,-0.014640570643945415,-0.05075856888961994,37.943709629111495,16.95102618830108,4.3480000495910645,4.578000020980835,4.543000006675721,4.246799998283386,METALFORGE.BO,2024-12-13 11:08:18.799189
2,2024-05-16 00:00:00+05:30,4.53000020980835,4.599999904632568,4.309999942779541,4.309999942779541,635,0.0,0.0,0.0,2024-05-16,4.605000019073486,0.2170495461306512,4.8220495652041375,4.387950472942835,5.039099111334789,4.170900926812184,-10.526403848037775,-18.14749027146761,267253,606.8403159135871,2230.2962013689107,4.137408144245434,4.816957270819472,4.40666659673055,4.503333250681559,4.213333288828531,4.696666558583577,4.1166666348775225,4.793333212534586,3.923333326975504,0.38362189140397285,-80.00001192093322,-0.039293040944255786,-0.0019509284215404286,-0.037342112522715354,43.17491682760682,16.412761330767406,4.408000087738037,4.605000019073486,4.546400008201599,4.242599999904632,METALFORGE.BO,2024-12-13 11:08:18.799189
3,2024-05-15 00:00:00+05:30,4.400000095367432,4.599999904632568,4.400000095367432,4.53000020980835,460,0.0,0.0,0.0,2024-05-15,4.624500012397766,0.20640972594957596,4.830909738347342,4.41809028644819,5.0373194642969175,4.211680560498614,41.753212354165534,3.15773959278025,267888,462.039909259267,2636.1601727327416,4.137374492045653,30.120795919723932,4.510000069936116,4.620000044504801,4.420000235239664,4.709999879201253,4.3100002606709795,4.819999853769938,4.220000425974527,0.3934693141270211,-55.29409916755443,-0.025955796644473672,0.0073845997091384116,-0.033340396353612085,49.86224550969497,16.772281357769067,4.406000137329102,4.624500012397766,4.550000004768371,4.234600000381469,METALFORGE.BO,2024-12-13 11:08:18.799189
4,2024-05-14 00:00:00+05:30,4.199999809265137,4.400000095367432,4.179999828338623,4.400000095367432,1650,0.0,0.0,0.0,2024-05-14,4.632999992370605,0.20581283498053918,4.838812827351144,4.427187157390066,5.044625662331684,4.221374322409527,-78.56675536905936,-41.76245605441127,267428,1609.756050756614,3179.6902386011097,4.137319027239351,57.33953906324849,4.326666673024495,4.473333517710367,4.253333250681559,4.546666940053304,4.1066664059956866,4.693333784739176,4.03333298365275,0.27753531941469967,-70.58823199420615,-0.030153505670400982,0.015719698797541433,-0.045873204467942415,45.205363927010104,17.62282499755502,4.396000099182129,4.632999992370605,4.555199999809265,4.222799997329712,METALFORGE.BO,2024-12-13 11:08:18.799189
5,2024-05-13 00:00:00+05:30,4.400000095367432,4.400000095367432,4.179999828338623,4.400000095367432,3636,0.0,0.0,0.0,2024-05-13,4.649999976158142,0.19949931400552384,4.849499290163666,4.450500662152618,5.048998604169189,4.251001348147095,-84.39492103291168,-44.89647256007492,269078,3547.3169700309386,3572.1737855622337,4.137185854981412,59.636889055873205,4.326666673024495,4.473333517710367,4.253333250681559,4.546666940053304,4.1066664059956866,4.693333784739176,4.03333298365275,0.2792611338862989,-70.58823199420615,-0.02226793238486291,0.027187999914527035,-0.049455932299389944,45.205363927010104,17.20583039968335,4.416000080108643,4.649999976158142,4.567999997138977,4.212599997520447,METALFORGE.BO,2024-12-13 11:08:18.799189
6,2024-05-10 00:00:00+05:30,4.409999847412109,4.429999828338623,4.150000095367432,4.400000095367432,2264,0.0,0.0,0.0,2024-05-10,4.655999970436096,0.19329274351600845,4.849292713952105,4.462707226920088,5.042585457468113,4.26941448340408,-93.39889756825042,-47.85643475653257,272714,2208.7804235836206,3578.3879894450574,4.136891914587535,63.413894219035896,4.326666673024495,4.503333250681559,4.223333517710367,4.6066664059956866,4.046666940053304,4.78333298365275,3.943333784739176,0.20853399567447228,-70.58823199420615,-0.01183461609678993,0.03955198298937452,-0.05138659908616445,45.2053639270101,16.75675929428309,4.45600004196167,4.655999970436096,4.585999999046326,4.200899996757507,METALFORGE.BO,2024-12-13 11:08:18.799189
7,2024-05-09 00:00:00+05:30,4.5,4.5,4.260000228881836,4.300000190734863,2235,0.0,0.0,0.0,2024-05-09,4.6584999561309814,0.19010450602660364,4.848604462157585,4.468395450104378,5.038708968184189,4.278290944077774,-102.13008455886987,-45.20505871600511,270450,2130.9312502352427,3920.7898809104163,4.1367085566019695,60.24567558087313,4.353333473205566,4.446666717529297,4.206666946411133,4.5933332443237305,4.113333702087402,4.686666488647461,3.9666671752929688,0.23953912629893515,-94.59459807770128,0.0017025027280421767,0.05239863276091562,-0.050696130032873446,41.88065504467469,16.273144257698192,4.465999984741211,4.6584999561309814,4.599000000953675,4.1876999950408935,METALFORGE.BO,2024-12-13 11:08:18.799189
8,2024-05-08 00:00:00+05:30,4.5,4.5,4.320000171661377,4.480000019073486,3214,0.0,0.0,0.0,2024-05-08,4.655999946594238,0.1953242745629116,4.8513242211571495,4.460675672031327,5.046648495720062,4.2653513974684145,-101.55855903900508,-30.490483804231705,272685,3192.620694139528,4368.254538579209,4.136596140272785,58.066256457821694,4.433333396911621,4.546666622161865,4.366666793823242,4.613333225250244,4.253333568572998,4.726666450500488,4.186666965484619,0.255111589336579,-74.28573180218609,0.028856796941405527,0.06507266526913398,-0.036215868327728454,46.60735283126016,16.212873205410588,4.535999965667725,4.655999946594238,4.609199995994568,4.174199993610382,METALFORGE.BO,2024-12-13 11:08:18.799189
9,2024-05-07 00:00:00+05:30,4.550000190734863,4.550000190734863,4.369999885559082,4.5,418,0.0,0.0,0.0,2024-05-07,4.6409999370574955,0.21956655924163812,4.860566496299134,4.421433377815857,5.080133055540772,4.201866818574219,-110.52319876810613,-22.687366999368976,275899,417.07314956530564,4662.162999689129,4.136255834615466,46.78184633342428,4.473333358764648,4.576666831970215,4.396666526794434,4.65333366394043,4.293333053588867,4.756667137145996,4.216666221618652,0.1189541223332179,-71.42859089131788,0.045458042091205186,0.07412663235106609,-0.028668590259860904,47.15646161036475,16.409689079167084,4.615999984741211,4.6409999370574955,4.611399998664856,4.15949999332428,METALFORGE.BO,2024-12-13 11:08:18.799189
10,2024-05-06 00:00:00+05:30,4.300000190734863,4.599999904632568,4.300000190734863,4.599999904632568,2183,0.0,0.0,0.0,2024-05-06,4.630499935150146,0.23136835569796876,4.861868290848115,4.3991315794521775,5.093236646546083,4.167763223754209,-108.00309577392171,-14.56375112930327,276317,2226.5630337456855,5723.435462220084,4.136208948268784,51.99615036182082,4.5,4.699999809265137,4.400000095367432,4.799999713897705,4.200000286102295,4.999999523162842,4.100000381469727,0.15266411226215407,-57.14288633697682,0.06405421325854554,0.08129377991603132,-0.017239566657485772,49.8851939392137,16.839386793502257,4.688000011444092,4.630499935150146,4.6090000009536745,4.143299994468689,METALFORGE.BO,2024-12-13 11:08:18.799189
