Trading Day,Date,Close,High,Low,Open,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2025-07-29 00:00:00+05:30,621.2999877929688,629.9500122070312,611.2000122070312,629.9500122070312,3707,0.0,0.0,2025-07-29,617.6174957275391,14.354458314223944,631.9719540417631,603.2630374133151,646.326412355987,588.9085790990912,-96.28770132305769,76.74267184702161,-2845524,3263.164308094247,5286.650447200622,630.4891271829198,48.14755414946303,620.8166707356771,630.433329264323,611.683329264323,639.5666707356771,602.0666707356771,649.183329264323,592.933329264323,0.12377463725892669,-56.909795725667664,12.053405452865604,14.595756222804797,-2.5423507699391923,58.33076785807011,40.057938360786174,623.6299926757813,617.6174957275391,588.5799987792968,536.0034994506836,VRLLOG.BO,2025-07-29 12:12:57.133719
2,2025-07-28 00:00:00+05:30,615.4500122070312,629.7000122070312,610.2999877929688,620.7000122070312,6502,0.0,0.0,2025-07-28,615.8599975585937,15.943690392286435,631.8036879508801,599.9163071663073,647.7473783431666,583.9726167740208,-122.6835096453597,74.4080182683531,-2849231,5669.630561654028,5792.521981977216,630.492533941315,48.039993708987964,618.4833374023438,626.6666870117188,607.2666625976562,637.8833618164062,599.0833129882812,646.0667114257812,587.8666381835938,0.14259394641486525,-68.1381478830422,13.097902424199333,15.231343915289594,-2.1334414910902613,55.3717141151048,41.65332255659534,625.239990234375,615.8599975585937,587.0799987792968,534.2784994506836,VRLLOG.BO,2025-07-29 12:12:57.133719
3,2025-07-25 00:00:00+05:30,622.5499877929688,635.0,621.0,635.0,6525,0.0,0.0,2025-07-25,613.9249969482422,18.186697389749543,632.1116943379917,595.7382995584927,650.2983917277413,577.5516021687431,-30.862483088003124,100.00248366672949,-2842729,5755.323713437559,5823.244837058011,630.502321942672,56.339887372486174,626.1833292643229,631.3666585286458,617.3666585286458,640.1833292643229,612.1833292643229,645.3666585286458,603.3666585286458,-0.026179176905214145,-51.40275912047511,14.812855953927965,15.764704288062159,-0.9518483341341941,60.18863663387677,43.39183125261686,628.689990234375,613.9249969482422,585.7799987792969,532.6384994506836,VRLLOG.BO,2025-07-29 12:12:57.133719
4,2025-07-24 00:00:00+05:30,634.0,635.5499877929688,624.9500122070312,624.9500122070312,8006,0.0,0.0,2025-07-24,611.4524963378906,20.202123382114486,631.654619720005,591.2503729557761,651.8567431021196,571.0482495736616,37.767395145617726,121.76418190112378,-2836204,7191.506124395923,5840.225117963124,630.5075181351195,66.57173606440202,631.5,638.0499877929688,627.4500122070312,642.0999755859375,620.9000244140625,648.6499633789062,616.8500366210938,-0.008106642246097653,-30.678755125848415,16.084838923618122,16.002666371595705,0.08217255202241702,69.20381165979832,43.88776846778529,631.289990234375,611.4524963378906,583.8169995117188,531.0944995117187,VRLLOG.BO,2025-07-29 12:12:57.133719
5,2025-07-23 00:00:00+05:30,624.8499755859375,629.9500122070312,621.0,625.0499877929688,1953,0.0,0.0,2025-07-23,608.4499969482422,21.116389664345512,629.5663866125877,587.3336072838966,650.6827762769332,566.2172176195512,4.453507867827845,112.8031836174067,-2844210,1728.9921101121802,5502.404866354924,630.5047158768404,69.68096910779622,625.2666625976562,629.5333251953125,620.5833129882812,634.2166748046875,616.316650390625,638.4833374023438,611.63330078125,-0.022985482246394077,-43.609057060952516,16.342000176186275,15.982123233590102,0.3598769425961734,65.35296070863822,43.84969195330276,633.3999877929688,608.4499969482422,581.505,529.3874993896484,VRLLOG.BO,2025-07-29 12:12:57.133719
6,2025-07-22 00:00:00+05:30,629.3499755859375,634.9500122070312,627.9500122070312,634.0,4335,0.0,0.0,2025-07-22,605.5349975585938,22.698067823791327,628.2330653823851,582.8369297348024,650.9311332061765,560.1388619110111,48.56330115715929,138.7677950384244,-2842257,3865.4168233321657,6445.758055415609,630.5058229041526,73.03529463438545,630.75,633.5499877929688,626.5499877929688,637.75,623.75,640.5499877929688,619.5499877929688,-0.014814849199027636,-36.09026466907952,17.324777211901733,15.892153997941058,1.4326232139606745,69.31088925609748,44.13814911348057,634.2799926757813,605.5349975585938,579.2980004882812,527.8059997558594,VRLLOG.BO,2025-07-29 12:12:57.133719
7,2025-07-21 00:00:00+05:30,632.7000122070312,639.0,626.7000122070312,631.25,5248,0.0,0.0,2025-07-21,602.1799987792969,23.918899018358413,626.0988977976552,578.2610997609385,650.0177968160136,554.3422007425801,72.13614351227724,158.7202394516111,-2837922,4704.426418870563,7090.84336343647,630.5063253876012,77.25273585236008,632.8000081380209,638.9000040690105,626.6000162760417,645.0999959309896,620.5000203450521,651.1999918619792,614.300028483073,0.003138612612405317,-28.033778392816796,17.877351186236183,15.533998194450888,2.343352991785295,72.33937143901665,43.39922865815524,633.2699951171875,602.1799987792969,576.9120007324219,526.2339999389649,VRLLOG.BO,2025-07-29 12:12:57.133719
8,2025-07-18 00:00:00+05:30,635.5499877929688,650.9500122070312,630.6500244140625,650.9500122070312,11598,0.0,0.0,2025-07-18,598.3249969482422,24.932717285436127,623.2577142336784,573.392279662806,648.1904315191144,548.4595623773699,124.82296778365269,198.77635006153622,-2832674,10443.542299857592,7687.447599577947,630.505170261846,81.70174095106981,639.0500081380209,647.4499918619792,627.1500040690105,659.3499959309896,618.7500203450521,667.749979654948,606.8500162760417,0.008732373091645405,-21.285441076850265,17.984016513628603,14.948159946504564,3.035856567124039,74.92561386319531,42.60346816780488,630.2799926757813,598.3249969482422,574.0740002441406,524.7229998779297,VRLLOG.BO,2025-07-29 12:12:57.133719
9,2025-07-17 00:00:00+05:30,644.5499877929688,649.5499877929688,627.0999755859375,630.8499755859375,12218,0.0,0.0,2025-07-17,594.3399963378906,25.03890691716482,619.3789032550554,569.3010894207258,644.4178101722202,544.262182503561,173.1710439687978,230.15708195983223,-2821076,11157.624365829015,6998.423924508035,630.4992927289554,92.85854507236222,640.3999837239584,653.6999918619792,631.249979654948,662.8499959309896,617.9499715169271,676.1500040690105,608.7999674479167,0.03094262770704356,-6.752195576289837,17.567415943059586,14.189195804723552,3.378220138336035,83.70036523554482,41.15377072344337,625.2,594.3399963378906,570.7940002441406,523.1420001220703,VRLLOG.BO,2025-07-29 12:12:57.133719
10,2025-07-16 00:00:00+05:30,629.25,631.1500244140625,618.0,621.5999755859375,3916,0.0,0.0,2025-07-16,589.7374969482422,23.750758848291042,613.4882557965333,565.9867380999511,637.2390146448242,542.2359792516602,154.15111014383206,191.8720915287588,-2833294,3491.2497558785453,5958.62381417779,630.482026488412,92.31338763332538,626.1333414713541,634.2666829427083,621.1166585286458,639.2833658854166,612.9833170572916,647.4167073567708,607.9666341145833,-0.05286516618706189,-3.19600340441609,15.881504364936177,13.344640770139542,2.5368635947966354,80.0036136564672,39.6422928435501,617.6099975585937,589.7374969482422,567.4350006103516,521.3490002441406,VRLLOG.BO,2025-07-29 12:12:57.133719
