,Symbol,Breakout
340,SESHAPAPER.NS,True
351,SESHAPAPER.BO,True
629,SUMMITSEC.NS,True
663,SUMMITSEC.BO,True
771,MUTHOOTFIN.NS,True
815,MUTHOOTFIN.BO,True
927,SBILIFE.BO,True
972,MASTEK.NS,True
1012,MASTEK.BO,True
1651,HIRECT.NS,True
1660,PRECWIRE.NS,True
1672,HIRECT.BO,True
1724,ASIANTILES.NS,True
1770,ASIANTILES.BO,True
1877,INDOCO.NS,True
1970,INDOCO.BO,True
2354,BBTC.BO,True
2525,MAXVIL.BO,True
2627,CEATLTD.NS,True
2709,CEATLTD.BO,True
3042,DEEPINDS.NS,True
3075,RPOWER.NS,True
3083,RPOWER.BO,True
